"","country","food_category","consumption","co2_emmission"
"276","United Kingdom","Pork",25.79,91.28
"277","United Kingdom","Poultry",31.55,33.89
"278","United Kingdom","Beef",18.12,559.15
"279","United Kingdom","Lamb & Goat",4.49,157.24
"280","United Kingdom","Fish",15.49,24.73
"281","United Kingdom","Eggs",11.08,10.18
"282","United Kingdom","Milk - inc. cheese",232.2,330.75
"283","United Kingdom","Wheat and Wheat Products",98.63,18.81
"284","United Kingdom","Rice",6.39,8.18
"285","United Kingdom","Soybeans",0.05,0.02
"286","United Kingdom","Nuts inc. Peanut Butter",4.18,7.4
"287","Austria","Pork",52.56,186.04
"288","Austria","Poultry",18.61,19.99
"289","Austria","Beef",17.14,528.9
"290","Austria","Lamb & Goat",1.16,40.62
"291","Austria","Fish",12.16,19.42
"292","Austria","Eggs",14.68,13.49
"293","Austria","Milk - inc. cheese",258.09,367.62
"294","Austria","Wheat and Wheat Products",81.1,15.47
"295","Austria","Rice",3.7,4.73
"296","Austria","Soybeans",2.06,0.93
"297","Austria","Nuts inc. Peanut Butter",7.88,13.95
"298","Oman","Pork",0.01,0.04
"299","Oman","Poultry",31.51,33.85
"300","Oman","Beef",15.1,465.95
"301","Oman","Lamb & Goat",12.87,450.71
"302","Oman","Fish",21.56,34.42
"303","Oman","Eggs",7.8,7.17
"304","Oman","Milk - inc. cheese",152.28,216.91
"305","Oman","Wheat and Wheat Products",64.1,12.22
"306","Oman","Rice",56.55,72.37
"307","Oman","Soybeans",0.21,0.09
"308","Oman","Nuts inc. Peanut Butter",1.68,2.97
"309","Italy","Pork",40.28,142.57
"310","Italy","Poultry",18.61,19.99
"311","Italy","Beef",18.6,573.96
"312","Italy","Lamb & Goat",0.92,32.22
"313","Italy","Fish",15.6,24.91
"314","Italy","Eggs",13.34,12.25
"315","Italy","Milk - inc. cheese",246.88,351.66
"316","Italy","Wheat and Wheat Products",146.37,27.91
"317","Italy","Rice",5.74,7.35
"318","Italy","Soybeans",0.01,0
"319","Italy","Nuts inc. Peanut Butter",7.63,13.51
"320","Bahamas","Pork",32.74,115.88
"321","Bahamas","Poultry",45.74,49.13
"322","Bahamas","Beef",19.92,614.69
"323","Bahamas","Lamb & Goat",5.22,182.8
"324","Bahamas","Fish",18.8,30.02
"325","Bahamas","Eggs",6.2,5.7
"326","Bahamas","Milk - inc. cheese",104.76,149.22
"327","Bahamas","Wheat and Wheat Products",39.98,7.62
"328","Bahamas","Rice",23.97,30.67
"329","Bahamas","Soybeans",0.09,0.04
"330","Bahamas","Nuts inc. Peanut Butter",4.03,7.13
"331","Portugal","Pork",37.91,134.18
"332","Portugal","Poultry",30.14,32.38
"333","Portugal","Beef",16.45,507.61
"334","Portugal","Lamb & Goat",2.38,83.35
"335","Portugal","Fish",45.39,72.47
"336","Portugal","Eggs",9.05,8.31
"337","Portugal","Milk - inc. cheese",205.04,292.06
"338","Portugal","Wheat and Wheat Products",94.3,17.98
"339","Portugal","Rice",14.86,19.02
"340","Portugal","Soybeans",0.01,0
"341","Portugal","Nuts inc. Peanut Butter",3.91,6.92
"342","Malta","Pork",34.24,121.19
"343","Malta","Poultry",26.4,28.36
"344","Malta","Beef",19.22,593.09
"345","Malta","Lamb & Goat",1.19,41.67
"346","Malta","Fish",24.58,39.25
"347","Malta","Eggs",11.64,10.69
"348","Malta","Milk - inc. cheese",190.06,270.72
"349","Malta","Wheat and Wheat Products",139.58,26.62
"350","Malta","Rice",4.96,6.35
"351","Malta","Soybeans",0.05,0.02
"352","Malta","Nuts inc. Peanut Butter",5.62,9.95
"353","Armenia","Pork",9.67,34.23
"354","Armenia","Poultry",13.35,14.34
"355","Armenia","Beef",19.66,606.67
"356","Armenia","Lamb & Goat",3.02,105.76
"357","Armenia","Fish",4.36,6.96
"358","Armenia","Eggs",11.69,10.74
"359","Armenia","Milk - inc. cheese",209.03,297.74
"360","Armenia","Wheat and Wheat Products",130.6,24.91
"361","Armenia","Rice",3.18,4.07
"362","Armenia","Soybeans",0,0
"363","Armenia","Nuts inc. Peanut Butter",2.55,4.51
"364","Slovenia","Pork",28.19,99.78
"365","Slovenia","Poultry",23.46,25.2
"366","Slovenia","Beef",18.43,568.71
"367","Slovenia","Lamb & Goat",0.79,27.67
"368","Slovenia","Fish",7.76,12.39
"369","Slovenia","Eggs",9.36,8.6
"370","Slovenia","Milk - inc. cheese",235.01,334.75
"371","Slovenia","Wheat and Wheat Products",103.43,19.72
"372","Slovenia","Rice",3.95,5.05
"373","Slovenia","Soybeans",0.75,0.34
"374","Slovenia","Nuts inc. Peanut Butter",5.28,9.35
"375","Chile","Pork",24.68,87.35
"376","Chile","Poultry",36.52,39.23
"377","Chile","Beef",23.86,736.27
"378","Chile","Lamb & Goat",0.42,14.71
"379","Chile","Fish",7.65,12.21
"380","Chile","Eggs",9.97,9.16
"381","Chile","Milk - inc. cheese",116.11,165.39
"382","Chile","Wheat and Wheat Products",104.74,19.97
"383","Chile","Rice",8.85,11.33
"384","Chile","Soybeans",0.04,0.02
"385","Chile","Nuts inc. Peanut Butter",2.22,3.93
"386","Venezuela","Pork",7.23,25.59
"387","Venezuela","Poultry",39.28,42.19
"388","Venezuela","Beef",25.89,798.91
"389","Venezuela","Lamb & Goat",0.32,11.21
"390","Venezuela","Fish",8.34,13.32
"391","Venezuela","Eggs",5.63,5.17
"392","Venezuela","Milk - inc. cheese",117.79,167.78
"393","Venezuela","Wheat and Wheat Products",49.17,9.38
"394","Venezuela","Rice",23.39,29.93
"395","Venezuela","Soybeans",0,0
"396","Venezuela","Nuts inc. Peanut Butter",0.35,0.62
"397","Belgium","Pork",38.65,136.8
"398","Belgium","Poultry",12.2,13.11
"399","Belgium","Beef",15.63,482.31
"400","Belgium","Lamb & Goat",1.32,46.23
"401","Belgium","Fish",18.97,30.29
"402","Belgium","Eggs",12.59,11.57
"403","Belgium","Milk - inc. cheese",236.19,336.43
"404","Belgium","Wheat and Wheat Products",111.91,21.34
"405","Belgium","Rice",8.61,11.02
"406","Belgium","Soybeans",0.07,0.03
"407","Belgium","Nuts inc. Peanut Butter",7.32,12.96
"408","Germany","Pork",51.81,183.38
"409","Germany","Poultry",17.75,19.07
"410","Germany","Beef",13.16,406.09
"411","Germany","Lamb & Goat",0.73,25.56
"412","Germany","Fish",11.16,17.82
"413","Germany","Eggs",12.2,11.21
"414","Germany","Milk - inc. cheese",258.7,368.49
"415","Germany","Wheat and Wheat Products",83.41,15.91
"416","Germany","Rice",3.34,4.27
"417","Germany","Soybeans",0.88,0.4
"418","Germany","Nuts inc. Peanut Butter",7.96,14.09
"419","Russia","Pork",25.66,90.82
"420","Russia","Poultry",27.5,29.54
"421","Russia","Beef",16.98,523.97
"422","Russia","Lamb & Goat",1.4,49.03
"423","Russia","Fish",20.82,33.24
"424","Russia","Eggs",15.43,14.17
"425","Russia","Milk - inc. cheese",163.57,232.99
"426","Russia","Wheat and Wheat Products",130.99,24.98
"427","Russia","Rice",4.71,6.03
"428","Russia","Soybeans",0.05,0.02
"429","Russia","Nuts inc. Peanut Butter",1.62,2.87
"430","Croatia","Pork",42.79,151.46
"431","Croatia","Poultry",8.52,9.15
"432","Croatia","Beef",12.41,382.95
"433","Croatia","Lamb & Goat",1.71,59.88
"434","Croatia","Fish",15.83,25.28
"435","Croatia","Eggs",8.48,7.79
"436","Croatia","Milk - inc. cheese",231.02,329.06
"437","Croatia","Wheat and Wheat Products",106.59,20.33
"438","Croatia","Rice",2.64,3.38
"439","Croatia","Soybeans",0,0
"440","Croatia","Nuts inc. Peanut Butter",3.88,6.87
"441","Belarus","Pork",40.37,142.89
"442","Belarus","Poultry",31.29,33.61
"443","Belarus","Beef",17.11,527.98
"444","Belarus","Lamb & Goat",0.11,3.85
"445","Belarus","Fish",15.75,25.15
"446","Belarus","Eggs",15.86,14.57
"447","Belarus","Milk - inc. cheese",133.73,190.49
"448","Belarus","Wheat and Wheat Products",60.48,11.53
"449","Belarus","Rice",3.17,4.06
"450","Belarus","Soybeans",0.3,0.14
"451","Belarus","Nuts inc. Peanut Butter",3.36,5.95
"452","Spain","Pork",48.92,173.15
"453","Spain","Poultry",28.63,30.75
"454","Spain","Beef",12.15,374.92
"455","Spain","Lamb & Goat",2.16,75.64
"456","Spain","Fish",28.83,46.03
"457","Spain","Eggs",13.32,12.24
"458","Spain","Milk - inc. cheese",164.29,234.01
"459","Spain","Wheat and Wheat Products",93.88,17.9
"460","Spain","Rice",8.32,10.65
"461","Spain","Soybeans",0.02,0.01
"462","Spain","Nuts inc. Peanut Butter",7.44,13.17
"463","Paraguay","Pork",26.24,92.88
"464","Paraguay","Poultry",6.39,6.86
"465","Paraguay","Beef",19.81,611.29
"466","Paraguay","Lamb & Goat",0.56,19.61
"467","Paraguay","Fish",3.6,5.75
"468","Paraguay","Eggs",18.83,17.3
"469","Paraguay","Milk - inc. cheese",75.72,107.86
"470","Paraguay","Wheat and Wheat Products",31.51,6.01
"471","Paraguay","Rice",4.91,6.28
"472","Paraguay","Soybeans",0,0
"473","Paraguay","Nuts inc. Peanut Butter",1.6,2.83
"474","New Caledonia","Pork",19.9,70.44
"475","New Caledonia","Poultry",44.36,47.65
"476","New Caledonia","Beef",16.07,495.89
"477","New Caledonia","Lamb & Goat",1.95,68.29
"478","New Caledonia","Fish",19.38,30.94
"479","New Caledonia","Eggs",8.85,8.13
"480","New Caledonia","Milk - inc. cheese",108,153.84
"481","New Caledonia","Wheat and Wheat Products",81.75,15.59
"482","New Caledonia","Rice",17.47,22.36
"483","New Caledonia","Soybeans",0.55,0.25
"484","New Caledonia","Nuts inc. Peanut Butter",2.96,5.24
"485","South Africa","Pork",4.16,14.72
"486","South Africa","Poultry",37.57,40.36
"487","South Africa","Beef",18.03,556.37
"488","South Africa","Lamb & Goat",4.28,149.89
"489","South Africa","Fish",5.56,8.88
"490","South Africa","Eggs",7.21,6.62
"491","South Africa","Milk - inc. cheese",55.75,79.41
"492","South Africa","Wheat and Wheat Products",60.13,11.47
"493","South Africa","Rice",17.41,22.28
"494","South Africa","Soybeans",1.27,0.57
"495","South Africa","Nuts inc. Peanut Butter",1.04,1.84
"496","Barbados","Pork",8.3,29.38
"497","Barbados","Poultry",42.62,45.78
"498","Barbados","Beef",13.13,405.16
"499","Barbados","Lamb & Goat",4.08,142.88
"500","Barbados","Fish",37.41,59.73
"501","Barbados","Eggs",9.61,8.83
"502","Barbados","Milk - inc. cheese",110.48,157.37
"503","Barbados","Wheat and Wheat Products",65.71,12.53
"504","Barbados","Rice",15.66,20.04
"505","Barbados","Soybeans",0.1,0.05
"506","Barbados","Nuts inc. Peanut Butter",4.16,7.36
"507","Lithuania","Pork",45.67,161.65
"508","Lithuania","Poultry",26.84,28.83
"509","Lithuania","Beef",4.49,138.55
"510","Lithuania","Lamb & Goat",0.24,8.4
"511","Lithuania","Fish",42.39,67.68
"512","Lithuania","Eggs",13.11,12.04
"513","Lithuania","Milk - inc. cheese",295.46,420.85
"514","Lithuania","Wheat and Wheat Products",121.59,23.19
"515","Lithuania","Rice",3.07,3.93
"516","Lithuania","Soybeans",0.02,0.01
"517","Lithuania","Nuts inc. Peanut Butter",2.13,3.77
"518","Turkey","Pork",0.01,0.04
"519","Turkey","Poultry",18.78,20.17
"520","Turkey","Beef",11.64,359.19
"521","Turkey","Lamb & Goat",4.68,163.89
